area,question_type,standard,count
HS-ESS1,applied,HS-ESS1-1,1
HS-ESS1,applied,HS-ESS1-2,1
HS-ESS1,applied,HS-ESS1-3,1
HS-ESS1,applied,HS-ESS1-4,1
HS-ESS1,conceptual,HS-ESS1-1,1
HS-ESS1,conceptual,HS-ESS1-2,1
HS-ESS1,conceptual,HS-ESS1-3,1
HS-ESS1,recall,HS-ESS1-1,1
HS-ESS1,recall,HS-ESS1-2,1
HS-ESS1,recall,HS-ESS1-3,1
HS-ESS2,applied,HS-ESS2-1,1
HS-ESS2,applied,HS-ESS2-2,1
HS-ESS2,applied,HS-ESS2-3,1
HS-ESS2,applied,HS-ESS2-4,1
HS-ESS2,conceptual,HS-ESS2-1,1
HS-ESS2,conceptual,HS-ESS2-2,1
HS-ESS2,conceptual,HS-ESS2-3,1
HS-ESS2,recall,HS-ESS2-1,1
HS-ESS2,recall,HS-ESS2-2,1
HS-ESS2,recall,HS-ESS2-3,1
HS-ESS3,applied,HS-ESS3-1,1
HS-ESS3,applied,HS-ESS3-2,1
HS-ESS3,applied,HS-ESS3-3,1
HS-ESS3,applied,HS-ESS3-4,1
HS-ESS3,conceptual,HS-ESS3-1,1
HS-ESS3,conceptual,HS-ESS3-2,1
HS-ESS3,conceptual,HS-ESS3-3,1
HS-ESS3,recall,HS-ESS3-1,1
HS-ESS3,recall,HS-ESS3-2,1
HS-ESS3,recall,HS-ESS3-3,1
HS-ETS1,applied,HS-ETS1-1,1
HS-ETS1,applied,HS-ETS1-2,1
HS-ETS1,applied,HS-ETS1-3,1
HS-ETS1,applied,HS-ETS1-4,1
HS-ETS1,conceptual,HS-ETS1-1,1
HS-ETS1,conceptual,HS-ETS1-2,1
HS-ETS1,conceptual,HS-ETS1-3,1
HS-ETS1,recall,HS-ETS1-1,1
HS-ETS1,recall,HS-ETS1-2,1
HS-ETS1,recall,HS-ETS1-3,1
HS-LS1,applied,HS-LS1-1,1
HS-LS1,applied,HS-LS1-2,1
HS-LS1,applied,HS-LS1-3,1
HS-LS1,applied,HS-LS1-4,1
HS-LS1,conceptual,HS-LS1-1,1
HS-LS1,conceptual,HS-LS1-2,1
HS-LS1,conceptual,HS-LS1-3,1
HS-LS1,recall,HS-LS1-1,1
HS-LS1,recall,HS-LS1-2,1
HS-LS1,recall,HS-LS1-3,1
HS-LS2,applied,HS-LS2-1,1
HS-LS2,applied,HS-LS2-2,1
HS-LS2,applied,HS-LS2-3,1
HS-LS2,applied,HS-LS2-4,1
HS-LS2,conceptual,HS-LS2-1,1
HS-LS2,conceptual,HS-LS2-2,1
HS-LS2,conceptual,HS-LS2-3,1
HS-LS2,recall,HS-LS2-1,1
HS-LS2,recall,HS-LS2-2,1
HS-LS2,recall,HS-LS2-3,1
HS-LS3,applied,HS-LS3-1,2
HS-LS3,applied,HS-LS3-2,1
HS-LS3,applied,HS-LS3-3,1
HS-LS3,conceptual,HS-LS3-1,1
HS-LS3,conceptual,HS-LS3-2,1
HS-LS3,conceptual,HS-LS3-3,1
HS-LS3,recall,HS-LS3-1,1
HS-LS3,recall,HS-LS3-2,1
HS-LS3,recall,HS-LS3-3,1
HS-LS4,applied,HS-LS4-1,1
HS-LS4,applied,HS-LS4-2,1
HS-LS4,applied,HS-LS4-3,1
HS-LS4,applied,HS-LS4-4,1
HS-LS4,conceptual,HS-LS4-2,1
HS-LS4,conceptual,HS-LS4-3,1
HS-LS4,conceptual,HS-LS4-4,1
HS-LS4,recall,HS-LS4-1,1
HS-LS4,recall,HS-LS4-2,1
HS-LS4,recall,HS-LS4-3,1
HS-PS1,applied,HS-PS1-1,1
HS-PS1,applied,HS-PS1-2,1
HS-PS1,applied,HS-PS1-3,1
HS-PS1,applied,HS-PS1-4,1
HS-PS1,conceptual,HS-PS1-1,1
HS-PS1,conceptual,HS-PS1-2,1
HS-PS1,conceptual,HS-PS1-3,1
HS-PS1,recall,HS-PS1-1,1
HS-PS1,recall,HS-PS1-2,1
HS-PS1,recall,HS-PS1-3,1
HS-PS2,applied,HS-PS2-1,1
HS-PS2,applied,HS-PS2-2,1
HS-PS2,applied,HS-PS2-3,1
HS-PS2,applied,HS-PS2-4,1
HS-PS2,conceptual,HS-PS2-1,1
HS-PS2,conceptual,HS-PS2-2,1
HS-PS2,conceptual,HS-PS2-3,1
HS-PS2,recall,HS-PS2-1,1
HS-PS2,recall,HS-PS2-2,1
HS-PS2,recall,HS-PS2-3,1
HS-PS3,applied,HS-PS3-1,1
HS-PS3,applied,HS-PS3-2,1
HS-PS3,applied,HS-PS3-3,1
HS-PS3,applied,HS-PS3-4,1
HS-PS3,conceptual,HS-PS3-1,1
HS-PS3,conceptual,HS-PS3-2,1
HS-PS3,conceptual,HS-PS3-3,1
HS-PS3,recall,HS-PS3-1,1
HS-PS3,recall,HS-PS3-2,1
HS-PS3,recall,HS-PS3-3,1
HS-PS4,applied,HS-PS4-1,1
HS-PS4,applied,HS-PS4-2,1
HS-PS4,applied,HS-PS4-3,1
HS-PS4,applied,HS-PS4-4,1
HS-PS4,conceptual,HS-PS4-1,1
HS-PS4,conceptual,HS-PS4-2,1
HS-PS4,conceptual,HS-PS4-3,1
HS-PS4,recall,HS-PS4-1,1
HS-PS4,recall,HS-PS4-2,1
HS-PS4,recall,HS-PS4-3,1
