area,standard,recall,conceptual,applied,total
HS-ESS1,HS-ESS1-1,1,1,1,3
HS-ESS1,HS-ESS1-2,1,1,1,3
HS-ESS1,HS-ESS1-3,1,1,1,3
HS-ESS1,HS-ESS1-4,0,0,1,1
HS-ESS2,HS-ESS2-1,1,1,1,3
HS-ESS2,HS-ESS2-2,1,1,1,3
HS-ESS2,HS-ESS2-3,1,1,1,3
HS-ESS2,HS-ESS2-4,0,0,1,1
HS-ESS3,HS-ESS3-1,1,1,1,3
HS-ESS3,HS-ESS3-2,1,1,1,3
HS-ESS3,HS-ESS3-3,1,1,1,3
HS-ESS3,HS-ESS3-4,0,0,1,1
HS-ETS1,HS-ETS1-1,1,1,1,3
HS-ETS1,HS-ETS1-2,1,1,1,3
HS-ETS1,HS-ETS1-3,1,1,1,3
HS-ETS1,HS-ETS1-4,0,0,1,1
HS-LS1,HS-LS1-1,1,1,1,3
HS-LS1,HS-LS1-2,1,1,1,3
HS-LS1,HS-LS1-3,1,1,1,3
HS-LS1,HS-LS1-4,0,0,1,1
HS-LS2,HS-LS2-1,1,1,1,3
HS-LS2,HS-LS2-2,1,1,1,3
HS-LS2,HS-LS2-3,1,1,1,3
HS-LS2,HS-LS2-4,0,0,1,1
HS-LS3,HS-LS3-1,1,1,2,4
HS-LS3,HS-LS3-2,1,1,1,3
HS-LS3,HS-LS3-3,1,1,1,3
HS-LS4,HS-LS4-1,1,0,1,2
HS-LS4,HS-LS4-2,1,1,1,3
HS-LS4,HS-LS4-3,1,1,1,3
HS-LS4,HS-LS4-4,0,1,1,2
HS-PS1,HS-PS1-1,1,1,1,3
HS-PS1,HS-PS1-2,1,1,1,3
HS-PS1,HS-PS1-3,1,1,1,3
HS-PS1,HS-PS1-4,0,0,1,1
HS-PS2,HS-PS2-1,1,1,1,3
HS-PS2,HS-PS2-2,1,1,1,3
HS-PS2,HS-PS2-3,1,1,1,3
HS-PS2,HS-PS2-4,0,0,1,1
HS-PS3,HS-PS3-1,1,1,1,3
HS-PS3,HS-PS3-2,1,1,1,3
HS-PS3,HS-PS3-3,1,1,1,3
HS-PS3,HS-PS3-4,0,0,1,1
HS-PS4,HS-PS4-1,1,1,1,3
HS-PS4,HS-PS4-2,1,1,1,3
HS-PS4,HS-PS4-3,1,1,1,3
HS-PS4,HS-PS4-4,0,0,1,1
