area,standard,recall,conceptual,applied,total
HS-PS1,HS-PS1-1,5,5,5,15
HS-PS1,HS-PS1-2,4,4,4,12
HS-PS1,HS-PS1-3,4,5,4,13
HS-PS1,HS-PS1-4,4,4,4,12
HS-PS1,HS-PS1-5,4,4,4,12
HS-PS1,HS-PS1-6,4,4,4,12
HS-PS1,HS-PS1-7,4,4,4,12
HS-PS1,HS-PS1-8,4,3,4,11
HS-PS1,Subtotal,33,33,33,99
HS-PS2,HS-PS2-1,3,6,7,16
HS-PS2,HS-PS2-2,6,8,7,21
HS-PS2,HS-PS2-3,10,7,7,24
HS-PS2,HS-PS2-4,11,6,7,24
HS-PS2,HS-PS2-5,2,6,6,14
HS-PS2,HS-PS2-6,0,0,0,0
HS-PS2,Subtotal,32,33,34,99
HS-PS3,HS-PS3-1,7,7,7,21
HS-PS3,HS-PS3-2,7,5,7,19
HS-PS3,HS-PS3-3,5,7,7,19
HS-PS3,HS-PS3-4,6,6,6,18
HS-PS3,HS-PS3-5,6,5,5,16
HS-PS3,Subtotal,31,30,32,93
HS-PS4,HS-PS4-1,5,7,7,19
HS-PS4,HS-PS4-2,7,7,7,21
HS-PS4,HS-PS4-3,5,8,7,20
HS-PS4,HS-PS4-4,4,4,7,15
HS-PS4,HS-PS4-5,11,6,6,23
HS-PS4,Subtotal,32,32,34,98
HS-LS1,HS-LS1-1,5,5,4,14
HS-LS1,HS-LS1-2,2,5,5,12
HS-LS1,HS-LS1-3,4,5,5,14
HS-LS1,HS-LS1-4,8,5,5,18
HS-LS1,HS-LS1-5,6,5,5,16
HS-LS1,HS-LS1-6,3,4,5,12
HS-LS1,HS-LS1-7,4,4,4,12
HS-LS1,Subtotal,32,33,33,98
HS-LS2,HS-LS2-1,9,4,2,15
HS-LS2,HS-LS2-2,3,3,3,9
HS-LS2,HS-LS2-3,2,3,3,8
HS-LS2,HS-LS2-4,3,4,4,11
HS-LS2,HS-LS2-5,3,4,4,11
HS-LS2,HS-LS2-6,5,4,4,13
HS-LS2,HS-LS2-7,2,4,4,10
HS-LS2,HS-LS2-8,4,3,4,11
HS-LS2,Subtotal,31,29,28,88
HS-LS3,HS-LS3-1,9,11,11,31
HS-LS3,HS-LS3-2,10,11,11,32
HS-LS3,HS-LS3-3,13,9,9,31
HS-LS3,Subtotal,32,31,31,94
HS-LS4,HS-LS4-1,8,9,7,24
HS-LS4,HS-LS4-2,6,6,6,18
HS-LS4,HS-LS4-3,4,6,7,17
HS-LS4,HS-LS4-4,7,5,7,19
HS-LS4,HS-LS4-5,5,6,5,16
HS-LS4,HS-LS4-6,1,0,0,1
HS-LS4,Subtotal,31,32,32,95
HS-ESS1,HS-ESS1-1,6,5,5,16
HS-ESS1,HS-ESS1-2,7,9,6,22
HS-ESS1,HS-ESS1-3,6,5,5,16
HS-ESS1,HS-ESS1-4,5,5,6,16
HS-ESS1,HS-ESS1-5,2,3,5,10
HS-ESS1,HS-ESS1-6,5,5,5,15
HS-ESS1,Subtotal,31,32,32,95
HS-ESS2,HS-ESS2-1,3,5,5,13
HS-ESS2,HS-ESS2-2,4,5,5,14
HS-ESS2,HS-ESS2-3,6,5,5,16
HS-ESS2,HS-ESS2-4,3,5,5,13
HS-ESS2,HS-ESS2-5,6,5,4,15
HS-ESS2,HS-ESS2-6,5,4,4,13
HS-ESS2,HS-ESS2-7,4,4,4,12
HS-ESS2,Subtotal,31,33,32,96
HS-ESS3,HS-ESS3-1,3,7,6,16
HS-ESS3,HS-ESS3-2,4,2,7,13
HS-ESS3,HS-ESS3-3,4,5,5,14
HS-ESS3,HS-ESS3-4,12,7,6,25
HS-ESS3,HS-ESS3-5,7,6,5,18
HS-ESS3,HS-ESS3-6,2,5,5,12
HS-ESS3,Subtotal,32,32,34,98
HS-ETS1,HS-ETS1-1,10,10,9,29
HS-ETS1,HS-ETS1-2,9,9,9,27
HS-ETS1,HS-ETS1-3,6,8,8,22
HS-ETS1,HS-ETS1-4,6,5,8,19
HS-ETS1,Subtotal,31,32,34,97
All areas,Total,379,382,389,1150
