model,area,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,HS-ESS1,285,0.9263,0.89,0.9513,0.9193,0.0,0.0172
Gemma 3 27b,HS-ESS2,288,0.9479,0.9159,0.9682,0.9692,0.0,0.0225
Gemma 3 27b,HS-ESS3,294,0.9796,0.9562,0.9906,0.9798,0.0,0.0083
Gemma 3 27b,HS-ETS1,291,0.9863,0.9652,0.9946,0.9874,0.0,0.0049
Gemma 3 27b,HS-LS1,294,0.9592,0.93,0.9765,0.9697,0.0,0.0083
Gemma 3 27b,HS-LS2,264,0.9583,0.9269,0.9766,0.962,0.0,0.0054
Gemma 3 27b,HS-LS3,282,0.9752,0.9497,0.9879,0.9839,0.0,0.005
Gemma 3 27b,HS-LS4,285,0.9614,0.9322,0.9783,0.9948,0.0,0.0099
Gemma 3 27b,HS-PS1,297,0.9529,0.9224,0.9717,0.9747,0.0,0.0252
Gemma 3 27b,HS-PS2,297,0.9697,0.9434,0.984,0.9751,0.0,0.0082
Gemma 3 27b,HS-PS3,279,0.9283,0.8919,0.9531,0.9489,0.0,0.0101
Gemma 3 27b,HS-PS4,294,0.9592,0.93,0.9765,0.9672,0.0,0.0083
Gemma 4 31b,HS-ESS1,285,0.9754,0.9502,0.9881,0.9948,0.0,0.005
Gemma 4 31b,HS-ESS2,288,0.9583,0.9286,0.976,0.9846,0.0,0.0085
Gemma 4 31b,HS-ESS3,294,0.9898,0.9704,0.9965,0.9848,0.0,0.0144
Gemma 4 31b,HS-ETS1,291,1.0,0.987,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS1,294,0.9626,0.9343,0.979,0.9747,0.0,0.0173
Gemma 4 31b,HS-LS2,264,0.9924,0.9728,0.9979,0.9883,0.0,0.0054
Gemma 4 31b,HS-LS3,282,0.9965,0.9802,0.9994,0.9973,0.0,0.005
Gemma 4 31b,HS-LS4,285,0.9965,0.9804,0.9994,0.9974,0.0,0.005
Gemma 4 31b,HS-PS1,297,0.9832,0.9612,0.9928,0.9975,0.0,0.0048
