model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,HS-ESS1,applied,96,0.8333,0.7463,0.8947,0.8854,0.0,0.039
Gemma 3 27b,HS-ESS1,conceptual,96,0.9583,0.8977,0.9837,0.9531,0.0,0.0147
Gemma 3 27b,HS-ESS1,recall,93,0.9892,0.9416,0.9981,,0.0,0.0152
Gemma 3 27b,HS-ESS2,applied,96,0.9688,0.9121,0.9893,0.9844,0.0,0.0255
Gemma 3 27b,HS-ESS2,conceptual,99,0.9293,0.8612,0.9653,0.9545,0.0,0.0286
Gemma 3 27b,HS-ESS2,recall,93,0.9462,0.8803,0.9768,,0.0,0.0152
Gemma 3 27b,HS-ESS3,applied,102,0.951,0.8903,0.9789,0.9657,0.0,0.0139
Gemma 3 27b,HS-ESS3,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Gemma 3 27b,HS-ESS3,recall,96,1.0,0.9615,1.0,,0.0,0.0
Gemma 3 27b,HS-ETS1,applied,102,0.9608,0.9035,0.9846,0.9755,0.0,0.0139
Gemma 3 27b,HS-ETS1,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-ETS1,recall,93,1.0,0.9603,1.0,,0.0,0.0
Gemma 3 27b,HS-LS1,applied,99,0.9697,0.9147,0.9896,0.9798,0.0,0.0
Gemma 3 27b,HS-LS1,conceptual,99,0.9394,0.874,0.9719,0.9596,0.0,0.0247
Gemma 3 27b,HS-LS1,recall,96,0.9688,0.9121,0.9893,,0.0,0.0
Gemma 3 27b,HS-LS2,applied,84,0.8929,0.8088,0.9426,0.9226,0.0,0.0
Gemma 3 27b,HS-LS2,conceptual,87,1.0,0.9577,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS2,recall,93,0.9785,0.9249,0.9941,,0.0,0.0152
Gemma 3 27b,HS-LS3,applied,93,0.9892,0.9416,0.9981,0.9892,0.0,0.0152
Gemma 3 27b,HS-LS3,conceptual,93,0.957,0.8946,0.9831,0.9785,0.0,0.0152
Gemma 3 27b,HS-LS3,recall,96,0.9792,0.9272,0.9943,,0.0,0.0147
Gemma 3 27b,HS-LS4,applied,96,0.9792,0.9272,0.9943,0.9896,0.0,0.0295
Gemma 3 27b,HS-LS4,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS4,recall,93,0.9032,0.8262,0.9482,,0.0,0.0
Gemma 3 27b,HS-PS1,applied,99,0.9495,0.8872,0.9782,0.9697,0.0,0.0143
Gemma 3 27b,HS-PS1,conceptual,99,0.9596,0.9007,0.9842,0.9798,0.0,0.0378
Gemma 3 27b,HS-PS1,recall,99,0.9495,0.8872,0.9782,,0.0,0.0286
Gemma 3 27b,HS-PS2,applied,102,0.9314,0.8651,0.9664,0.9559,0.0,0.0139
Gemma 3 27b,HS-PS2,conceptual,99,0.9899,0.945,0.9982,0.9949,0.0,0.0143
Gemma 3 27b,HS-PS2,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
Gemma 3 27b,HS-PS3,applied,96,0.9062,0.8313,0.9499,0.9479,0.0,0.0442
Gemma 3 27b,HS-PS3,conceptual,90,0.9111,0.8343,0.9543,0.95,0.0,0.0416
Gemma 3 27b,HS-PS3,recall,93,0.9677,0.9094,0.989,,0.0,0.0263
Gemma 3 27b,HS-PS4,applied,102,0.9314,0.8651,0.9664,0.9608,0.0,0.0277
Gemma 3 27b,HS-PS4,conceptual,96,0.9583,0.8977,0.9837,0.974,0.0,0.0295
Gemma 3 27b,HS-PS4,recall,96,0.9896,0.9433,0.9982,,0.0,0.0147
Gemma 4 31b,HS-ESS1,applied,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Gemma 4 31b,HS-ESS1,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Gemma 4 31b,HS-ESS1,recall,93,0.9462,0.8803,0.9768,,0.0,0.0152
Gemma 4 31b,HS-ESS2,applied,96,0.9479,0.8838,0.9776,0.9688,0.0,0.0295
Gemma 4 31b,HS-ESS2,conceptual,99,1.0,0.9626,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS2,recall,93,0.9247,0.8527,0.9631,,0.0,0.0152
Gemma 4 31b,HS-ESS3,applied,102,0.9706,0.9171,0.9899,0.9706,0.0,0.0416
Gemma 4 31b,HS-ESS3,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ESS3,recall,96,1.0,0.9615,1.0,,0.0,0.0
Gemma 4 31b,HS-ETS1,applied,102,1.0,0.9637,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ETS1,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-ETS1,recall,93,1.0,0.9603,1.0,,0.0,0.0
Gemma 4 31b,HS-LS1,applied,99,0.9798,0.9293,0.9944,0.9899,0.0,0.0286
Gemma 4 31b,HS-LS1,conceptual,99,0.9394,0.874,0.9719,0.9596,0.0,0.0247
Gemma 4 31b,HS-LS1,recall,96,0.9688,0.9121,0.9893,,0.0,0.0
Gemma 4 31b,HS-LS2,applied,84,0.9881,0.9356,0.9979,0.9881,0.0,0.0168
Gemma 4 31b,HS-LS2,conceptual,87,0.9885,0.9377,0.998,0.9885,0.0,0.0163
Gemma 4 31b,HS-LS2,recall,93,1.0,0.9603,1.0,,0.0,0.0
Gemma 4 31b,HS-LS3,applied,93,0.9892,0.9416,0.9981,0.9946,0.0,0.0152
Gemma 4 31b,HS-LS3,conceptual,93,1.0,0.9603,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS3,recall,96,1.0,0.9615,1.0,,0.0,0.0
Gemma 4 31b,HS-LS4,applied,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Gemma 4 31b,HS-LS4,conceptual,96,1.0,0.9615,1.0,1.0,0.0,0.0
Gemma 4 31b,HS-LS4,recall,93,1.0,0.9603,1.0,,0.0,0.0
Gemma 4 31b,HS-PS1,applied,99,1.0,0.9626,1.0,1.0,0.0,0.0
