model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,HS-ESS1-1,48,0.9167,0.8045,0.9671,0.9,0.0,0.0295
Gemma 3 27b,HS-ESS1-2,66,0.9697,0.8961,0.9917,0.9556,0.0,0.0214
Gemma 3 27b,HS-ESS1-3,48,0.8542,0.7283,0.9275,0.85,0.0,0.0589
Gemma 3 27b,HS-ESS1-4,48,0.875,0.753,0.9414,0.8485,0.0,0.0
Gemma 3 27b,HS-ESS1-5,30,0.9667,0.8333,0.9941,0.9792,0.0,0.0471
Gemma 3 27b,HS-ESS1-6,45,0.9778,0.8843,0.9961,0.9833,0.0,0.0314
Gemma 3 27b,HS-ESS2-1,39,0.9231,0.7968,0.9735,0.9833,0.0,0.0
Gemma 3 27b,HS-ESS2-2,42,1.0,0.9162,1.0,0.9667,0.0,0.0
Gemma 3 27b,HS-ESS2-3,48,0.9167,0.8045,0.9671,0.9833,0.0,0.078
Gemma 3 27b,HS-ESS2-4,39,0.9487,0.8311,0.9858,0.9667,0.0,0.0363
Gemma 3 27b,HS-ESS2-5,45,0.9111,0.7927,0.9649,0.9259,0.0,0.0314
Gemma 3 27b,HS-ESS2-6,39,0.9487,0.8311,0.9858,0.9583,0.0,0.0725
Gemma 3 27b,HS-ESS2-7,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-ESS3-1,48,0.9792,0.891,0.9963,0.9872,0.0,0.0295
Gemma 3 27b,HS-ESS3-2,39,0.9744,0.8682,0.9955,0.963,0.0,0.0363
Gemma 3 27b,HS-ESS3-3,42,1.0,0.9162,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-ESS3-4,75,1.0,0.9513,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-ESS3-5,54,0.9259,0.8245,0.9708,0.9242,0.0,0.0262
Gemma 3 27b,HS-ESS3-6,36,1.0,0.9036,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-ETS1-1,87,1.0,0.9577,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-ETS1-2,81,0.9753,0.9144,0.9932,0.9722,0.0,0.0175
Gemma 3 27b,HS-ETS1-3,66,0.9697,0.8961,0.9917,0.9792,0.0,0.0429
Gemma 3 27b,HS-ETS1-4,57,1.0,0.9369,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS1-1,42,0.9762,0.8768,0.9958,0.9815,0.0,0.0337
Gemma 3 27b,HS-LS1-2,36,0.9722,0.8583,0.9951,0.9833,0.0,0.0393
Gemma 3 27b,HS-LS1-3,42,1.0,0.9162,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS1-4,54,0.9815,0.9023,0.9967,1.0,0.0,0.0262
Gemma 3 27b,HS-LS1-5,48,0.9167,0.8045,0.9671,0.9667,0.0,0.0295
Gemma 3 27b,HS-LS1-6,36,0.9444,0.8186,0.9846,0.9444,0.0,0.0393
Gemma 3 27b,HS-LS1-7,36,0.9167,0.7817,0.9713,0.8958,0.0,0.0
Gemma 3 27b,HS-LS2-1,45,1.0,0.9213,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS2-2,27,0.8889,0.7194,0.9615,0.9722,0.0,0.0
Gemma 3 27b,HS-LS2-3,24,1.0,0.862,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS2-4,33,1.0,0.8957,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS2-5,33,0.9394,0.8039,0.9832,0.9583,0.0,0.0429
Gemma 3 27b,HS-LS2-6,39,0.8462,0.7027,0.9275,0.7917,0.0,0.0
Gemma 3 27b,HS-LS2-7,30,1.0,0.8865,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS2-8,33,1.0,0.8957,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS3-1,93,0.9892,0.9416,0.9981,1.0,0.0,0.0152
Gemma 3 27b,HS-LS3-2,96,0.9583,0.8977,0.9837,0.9697,0.0,0.0147
Gemma 3 27b,HS-LS3-3,93,0.9785,0.9249,0.9941,0.9815,0.0,0.0152
Gemma 3 27b,HS-LS4-1,72,1.0,0.9493,1.0,1.0,0.0,0.0
Gemma 3 27b,HS-LS4-2,54,0.9444,0.8489,0.9809,1.0,0.0,0.0
