model,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Gemma 3 27b,applied,1167,0.9392,0.924,0.9515,0.961,0.0,0.0048
Gemma 3 27b,conceptual,1146,0.966,0.9538,0.975,0.9782,0.0,0.0021
Gemma 3 27b,recall,1137,0.9719,0.9605,0.98,,0.0,0.0033
Gemma 4 31b,applied,1167,0.9846,0.9758,0.9902,0.9893,0.0,0.0
Gemma 4 31b,conceptual,1146,0.9869,0.9785,0.9921,0.9917,0.0,0.0037
Gemma 4 31b,recall,1137,0.9815,0.9719,0.9879,,0.0,0.0037
Granite 3.3 Instruct,applied,1167,0.7849,0.7604,0.8075,0.85,0.0,0.0137
Granite 3.3 Instruct,conceptual,1146,0.8028,0.7788,0.8248,0.8866,0.0,0.0033
Granite 3.3 Instruct,recall,1137,0.8777,0.8574,0.8955,,0.0,0.0066
Llama 3.1 8b,applied,1167,0.7524,0.7268,0.7763,0.8278,0.0,0.0012
Llama 3.1 8b,conceptual,1146,0.7435,0.7174,0.7679,0.8438,0.0,0.0196
Llama 3.1 8b,recall,1137,0.8399,0.8175,0.8601,,0.0,0.0106
Llama 3.3 70b,applied,1167,0.9297,0.9136,0.943,0.9524,0.0,0.0074
Llama 3.3 70b,conceptual,1146,0.9171,0.8997,0.9317,0.9524,0.0,0.0075
Llama 3.3 70b,recall,1137,0.9595,0.9465,0.9695,,0.0,0.0066
Mistral Small 3.1,applied,1167,0.8955,0.8766,0.9117,0.9289,0.0,0.0064
Mistral Small 3.1,conceptual,1146,0.9197,0.9026,0.9341,0.9533,0.0,0.0069
Mistral Small 3.1,recall,1137,0.9323,0.9162,0.9455,,0.0,0.0139
Nemotron 3 Nano 30ba3,applied,1167,0.9717,0.9606,0.9798,0.9811,0.0,0.0073
Nemotron 3 Nano 30ba3,conceptual,1146,0.9668,0.9548,0.9757,0.9812,0.0,0.0065
Nemotron 3 Nano 30ba3,recall,1137,0.9639,0.9514,0.9733,,0.0,0.0066
OSS 120b,applied,1167,0.9769,0.9665,0.9841,0.9841,0.0,0.0076
OSS 120b,conceptual,1146,0.993,0.9863,0.9965,0.993,0.0,0.0012
OSS 120b,recall,1137,0.9894,0.9816,0.994,,0.0,0.0022
OSS 20b,applied,1167,0.9606,0.9478,0.9703,0.97,0.0,0.0044
OSS 20b,conceptual,1146,0.9581,0.9449,0.9683,0.9729,0.0,0.0043
OSS 20b,recall,1137,0.9525,0.9385,0.9634,,0.0,0.0065
