area,n_questions,n_recall,n_conceptual,n_applied,standards_total,standards_covered,mean_fk_grade,frac_in_band
HS-PS1,100,33,33,34,8,8,10.28,1.0
HS-PS2,100,33,33,34,6,5,8.9,1.0
HS-PS3,100,33,33,34,5,5,9.42,1.0
HS-PS4,100,33,33,34,5,5,9.84,1.0
HS-LS1,99,32,33,34,7,7,10.06,1.0
HS-LS2,100,33,33,34,8,8,10.48,1.0
HS-LS3,100,33,33,34,3,3,9.72,1.0
HS-LS4,97,31,32,34,6,6,10.95,1.0
HS-ESS1,100,33,33,34,6,6,9.49,1.0
HS-ESS2,100,33,33,34,7,7,10.26,1.0
HS-ESS3,100,33,33,34,6,6,10.55,1.0
HS-ETS1,98,31,33,34,4,4,11.53,1.0
