model,area,question_type,mean_fk_grade,mean_reading_ease,n,dist_from_band
Gemma 3 27b,HS-ESS1,applied,10.75,50.77,96,0.0
Gemma 3 27b,HS-ESS1,conceptual,11.22,45.23,96,0.0
Gemma 3 27b,HS-ESS1,recall,10.92,46.97,93,0.0
Gemma 3 27b,HS-ESS2,applied,11.11,44.7,96,0.0
Gemma 3 27b,HS-ESS2,conceptual,11.14,43.95,99,0.0
Gemma 3 27b,HS-ESS2,recall,11.45,41.66,93,0.0
Gemma 3 27b,HS-ESS3,applied,12.16,36.98,102,0.0
Gemma 3 27b,HS-ESS3,conceptual,12.47,35.25,96,0.0
Gemma 3 27b,HS-ESS3,recall,12.76,34.39,96,0.0
Gemma 3 27b,HS-ETS1,applied,12.85,32.21,102,0.0
Gemma 3 27b,HS-ETS1,conceptual,13.55,24.58,96,0.0
Gemma 3 27b,HS-ETS1,recall,11.81,37.38,93,0.0
Gemma 3 27b,HS-LS1,applied,11.34,43.46,99,0.0
Gemma 3 27b,HS-LS1,conceptual,11.67,40.18,99,0.0
Gemma 3 27b,HS-LS1,recall,11.51,41.82,96,0.0
Gemma 3 27b,HS-LS2,applied,11.39,42.18,84,0.0
Gemma 3 27b,HS-LS2,conceptual,12.49,34.51,87,0.0
Gemma 3 27b,HS-LS2,recall,12.99,31.69,93,0.0
Gemma 3 27b,HS-LS3,applied,11.11,46.19,93,0.0
Gemma 3 27b,HS-LS3,conceptual,10.97,45.51,93,0.0
Gemma 3 27b,HS-LS3,recall,10.95,44.69,96,0.0
Gemma 3 27b,HS-LS4,applied,12.19,39.38,96,0.0
Gemma 3 27b,HS-LS4,conceptual,12.89,32.32,96,0.0
Gemma 3 27b,HS-LS4,recall,13.07,30.84,93,0.0
Gemma 3 27b,HS-PS1,applied,11.07,46.69,99,0.0
Gemma 3 27b,HS-PS1,conceptual,11.64,42.93,99,0.0
Gemma 3 27b,HS-PS1,recall,11.81,42.74,99,0.0
Gemma 3 27b,HS-PS2,applied,10.21,56.96,102,0.0
Gemma 3 27b,HS-PS2,conceptual,9.99,55.55,99,0.0
Gemma 3 27b,HS-PS2,recall,11.18,49.84,96,0.0
Gemma 3 27b,HS-PS3,applied,11.09,48.72,96,0.0
Gemma 3 27b,HS-PS3,conceptual,11.94,42.05,90,0.0
Gemma 3 27b,HS-PS3,recall,11.54,43.55,93,0.0
Gemma 3 27b,HS-PS4,applied,11.0,49.77,102,0.0
Gemma 3 27b,HS-PS4,conceptual,11.01,46.99,96,0.0
Gemma 3 27b,HS-PS4,recall,11.23,44.77,96,0.0
Gemma 4 31b,HS-ESS1,applied,10.1,54.79,96,0.0
Gemma 4 31b,HS-ESS1,conceptual,10.88,50.28,96,0.0
Gemma 4 31b,HS-ESS1,recall,10.95,49.25,93,0.0
Gemma 4 31b,HS-ESS2,applied,10.92,49.29,96,0.0
Gemma 4 31b,HS-ESS2,conceptual,10.9,48.96,99,0.0
Gemma 4 31b,HS-ESS2,recall,11.24,46.78,93,0.0
Gemma 4 31b,HS-ESS3,applied,12.3,40.86,102,0.0
Gemma 4 31b,HS-ESS3,conceptual,11.86,43.52,96,0.0
Gemma 4 31b,HS-ESS3,recall,12.37,40.22,96,0.0
Gemma 4 31b,HS-ETS1,applied,12.99,36.1,102,0.0
