model_a,model_b,acc_a,acc_b,a_better_b,discordant_b,discordant_c,p_value,p_holm,significant_0.05
Llama 3.1 8b,OSS 120b,0.8261,0.9957,0,2,197,4.933893706738393e-43,1.7762017344258216e-41,1
Gemma 4 31b,Llama 3.1 8b,0.9904,0.8261,1,192,3,2.5835673919775755e-41,9.042485871921515e-40,1
Llama 3.1 8b,OSS 20b,0.8261,0.9826,0,9,189,4.521761964714306e-37,1.5373990680028642e-35,1
Llama 3.1 8b,Nemotron 3 Nano 30ba3,0.8261,0.9826,0,14,194,2.266067537744138e-35,7.478022874555655e-34,1
Granite 3.3 Instruct,OSS 120b,0.8617,0.9957,0,2,156,4.380698604499713e-34,1.4018235534399083e-32,1
Gemma 3 27b,Llama 3.1 8b,0.9739,0.8261,1,185,15,6.48435713984789e-33,2.010150713352846e-31,1
Gemma 4 31b,Granite 3.3 Instruct,0.9904,0.8617,1,152,4,5.610940308193525e-32,1.6832820924580576e-30,1
Llama 3.1 8b,Mistral Small 3.1,0.8261,0.9652,0,18,178,6.834337824559425e-30,1.981957969122233e-28,1
Granite 3.3 Instruct,OSS 20b,0.8617,0.9826,0,12,151,3.1207282427254356e-27,8.73803907963122e-26,1
Granite 3.3 Instruct,Nemotron 3 Nano 30ba3,0.8617,0.9826,0,13,152,6.3735095184867856e-27,1.7208475699914321e-25,1
Llama 3.1 8b,Llama 3.3 70b,0.8261,0.9548,0,22,170,2.711773100771448e-26,7.0506100620057645e-25,1
Gemma 3 27b,Granite 3.3 Instruct,0.9739,0.8617,1,142,13,8.564783658788234e-25,2.1411959146970585e-23,1
Granite 3.3 Instruct,Mistral Small 3.1,0.8617,0.9652,0,20,139,8.12535491564647e-21,1.950085179755153e-19,1
Granite 3.3 Instruct,Llama 3.3 70b,0.8617,0.9548,0,25,132,2.6801802524905218e-17,6.164414580728201e-16,1
Llama 3.3 70b,OSS 120b,0.9548,0.9957,0,3,50,2.639674847042402e-10,5.8072846634932845e-09,1
Gemma 4 31b,Llama 3.3 70b,0.9904,0.9548,1,47,6,3.919908900829516e-08,8.231808691741983e-07,1
Mistral Small 3.1,OSS 120b,0.9652,0.9957,0,3,38,1.0968064401153088e-07,2.1936128802306176e-06,1
Gemma 4 31b,Mistral Small 3.1,0.9904,0.9652,1,37,8,2.9930622223033853e-05,0.0005590936966874934,1
Gemma 3 27b,OSS 120b,0.9739,0.9957,0,4,29,2.9425984036183864e-05,0.0005590936966874934,1
Llama 3.3 70b,OSS 20b,0.9548,0.9826,0,13,45,4.69124582109418e-05,0.0007975117895860106,1
Llama 3.3 70b,Nemotron 3 Nano 30ba3,0.9548,0.9826,0,13,45,4.69124582109418e-05,0.0007975117895860106,1
OSS 120b,OSS 20b,0.9957,0.9826,1,18,3,0.0014896392822265625,0.022344589233398438,1
Nemotron 3 Nano 30ba3,OSS 120b,0.9826,0.9957,0,4,19,0.002599477767944336,0.0363926887512207,1
Gemma 3 27b,Gemma 4 31b,0.9739,0.9904,0,9,28,0.003084570989956616,0.040099422869436005,1
Gemma 3 27b,Llama 3.3 70b,0.9739,0.9548,1,41,19,0.006706275607805582,0.07070797533528617,0
Mistral Small 3.1,OSS 20b,0.9652,0.9826,0,14,34,0.006098945931214356,0.07070797533528617,0
Granite 3.3 Instruct,Llama 3.1 8b,0.8617,0.8261,1,126,85,0.005892331277940514,0.07070797533528617,0
Mistral Small 3.1,Nemotron 3 Nano 30ba3,0.9652,0.9826,0,18,38,0.011117560716106999,0.100058046444963,0
Gemma 3 27b,Nemotron 3 Nano 30ba3,0.9739,0.9826,0,10,20,0.10034824646229054,0.8027859716983243,0
Gemma 4 31b,OSS 120b,0.9904,0.9957,0,3,9,0.14599609375,0.8027859716983243,0
Gemma 4 31b,OSS 20b,0.9904,0.9826,1,18,9,0.12365771040283367,0.8027859716983243,0
Gemma 3 27b,OSS 20b,0.9739,0.9826,0,10,20,0.10034824646229054,0.8027859716983243,0
Llama 3.3 70b,Mistral Small 3.1,0.9548,0.9652,0,29,41,0.18859344218175958,0.8027859716983243,0
Gemma 4 31b,Nemotron 3 Nano 30ba3,0.9904,0.9826,1,20,11,0.1507627750266412,0.8027859716983243,0
Gemma 3 27b,Mistral Small 3.1,0.9739,0.9652,1,30,20,0.20309178757716426,0.8027859716983243,0
Nemotron 3 Nano 30ba3,OSS 20b,0.9826,0.9826,0,14,14,0.8501067391385259,0.8501067391385259,0
