model,area,n,input_mean,input_sd,output_mean,output_sd,reasoning_mean,reasoning_sd,total_mean,total_sd,total_sum,reasoning_available_frac
Gemma 3 27b,HS-ESS1,285,113.8,10.4,267.3,76.2,0.0,0.0,381.2,75.4,108630,0.0
Gemma 3 27b,HS-ESS2,288,112.1,8.8,265.3,75.8,0.0,0.0,377.4,75.0,108695,0.0
Gemma 3 27b,HS-ESS3,294,115.5,14.3,282.1,70.1,0.0,0.0,397.6,73.6,116885,0.0
Gemma 3 27b,HS-ETS1,291,116.6,14.4,275.3,75.6,0.0,0.0,391.9,76.8,114045,0.0
Gemma 3 27b,HS-LS1,294,113.0,10.8,246.0,67.1,0.0,0.0,359.0,67.9,105549,0.0
Gemma 3 27b,HS-LS2,264,114.5,13.8,245.5,63.1,0.0,0.0,360.0,63.9,95043,0.0
Gemma 3 27b,HS-LS3,282,111.4,10.6,276.7,79.3,0.0,0.0,388.2,81.3,109461,0.0
Gemma 3 27b,HS-LS4,285,116.3,15.9,267.8,66.5,0.0,0.0,384.1,66.0,109482,0.0
Gemma 3 27b,HS-PS1,297,114.1,13.4,236.5,65.5,0.0,0.0,350.5,67.3,104112,0.0
Gemma 3 27b,HS-PS2,297,115.1,11.3,261.9,67.4,0.0,0.0,377.1,71.1,111985,0.0
Gemma 3 27b,HS-PS3,279,113.9,12.6,240.6,59.3,0.0,0.0,354.5,60.0,98896,0.0
Gemma 3 27b,HS-PS4,294,115.2,12.4,251.2,72.2,0.0,0.0,366.4,72.0,107717,0.0
Gemma 4 31b,HS-ESS1,285,122.8,10.4,356.8,86.7,0.0,0.0,479.7,84.8,136702,0.0
Gemma 4 31b,HS-ESS2,288,121.1,8.8,362.7,97.3,0.0,0.0,483.8,96.3,139324,0.0
Gemma 4 31b,HS-ESS3,294,124.5,14.3,395.9,78.2,0.0,0.0,520.3,78.1,152978,0.0
Gemma 4 31b,HS-ETS1,291,125.6,14.4,417.4,97.9,0.0,0.0,543.0,91.8,157999,0.0
Gemma 4 31b,HS-LS1,294,122.0,10.8,351.6,101.9,0.0,0.0,473.6,101.1,139243,0.0
Gemma 4 31b,HS-LS2,264,123.5,13.8,365.0,91.9,0.0,0.0,488.5,86.9,128964,0.0
Gemma 4 31b,HS-LS3,282,120.4,10.6,383.7,85.5,0.0,0.0,504.2,82.9,142183,0.0
Gemma 4 31b,HS-LS4,285,125.3,15.9,372.6,82.8,0.0,0.0,497.9,75.6,141905,0.0
Gemma 4 31b,HS-PS1,297,123.1,13.4,348.1,83.8,0.0,0.0,471.2,81.1,139935,0.0
Gemma 4 31b,HS-PS2,297,124.1,11.3,356.7,92.0,0.0,0.0,480.8,91.4,142811,0.0
Gemma 4 31b,HS-PS3,279,122.9,12.6,343.0,88.6,0.0,0.0,465.9,86.1,129977,0.0
Gemma 4 31b,HS-PS4,294,124.2,12.4,374.1,96.0,0.0,0.0,498.2,94.2,146483,0.0
Granite 3.3 Instruct,HS-ESS1,285,128.2,11.4,301.5,103.7,0.0,0.0,429.7,104.6,122462,0.0
Granite 3.3 Instruct,HS-ESS2,288,128.1,10.9,332.7,113.6,0.0,0.0,460.8,114.8,132721,0.0
Granite 3.3 Instruct,HS-ESS3,294,131.7,16.8,345.9,114.1,0.0,0.0,477.6,120.5,140413,0.0
Granite 3.3 Instruct,HS-ETS1,291,130.4,17.1,282.9,111.2,0.0,0.0,413.4,113.4,120292,0.0
Granite 3.3 Instruct,HS-LS1,294,128.2,13.3,315.6,123.1,0.0,0.0,443.9,125.6,130495,0.0
Granite 3.3 Instruct,HS-LS2,264,130.8,17.6,307.9,123.5,0.0,0.0,438.7,129.0,115818,0.0
Granite 3.3 Instruct,HS-LS3,282,125.4,12.5,309.8,119.4,0.0,0.0,435.2,121.3,122726,0.0
Granite 3.3 Instruct,HS-LS4,285,132.1,19.8,311.3,111.6,0.0,0.0,443.3,113.5,126351,0.0
Granite 3.3 Instruct,HS-PS1,297,128.8,15.8,297.3,117.4,0.0,0.0,426.1,123.9,126565,0.0
Granite 3.3 Instruct,HS-PS2,297,129.3,13.0,310.3,128.8,0.0,0.0,439.6,134.8,130549,0.0
Granite 3.3 Instruct,HS-PS3,279,127.1,13.6,272.4,101.5,0.0,0.0,399.4,106.8,111445,0.0
Granite 3.3 Instruct,HS-PS4,294,129.1,14.3,286.0,99.9,0.0,0.0,415.1,102.7,122038,0.0
Llama 3.1 8b,HS-ESS1,285,135.7,10.1,297.9,81.2,0.0,0.0,433.6,82.6,123582,0.0
Llama 3.1 8b,HS-ESS2,288,134.7,8.8,301.7,88.0,0.0,0.0,436.4,88.3,125674,0.0
Llama 3.1 8b,HS-ESS3,294,137.8,13.9,324.3,76.3,0.0,0.0,462.1,80.4,135854,0.0
Llama 3.1 8b,HS-ETS1,291,138.5,14.1,306.1,84.7,0.0,0.0,444.6,84.5,129370,0.0
