model,question_type,n,input_mean,input_sd,output_mean,output_sd,reasoning_mean,reasoning_sd,total_mean,total_sd,total_sum,reasoning_available_frac
Gemma 3 27b,applied,1167,129.1,9.6,257.0,74.9,0.0,0.0,386.1,76.1,450551,0.0
Gemma 3 27b,conceptual,1146,108.5,3.8,281.4,64.6,0.0,0.0,389.9,65.0,446874,0.0
Gemma 3 27b,recall,1137,104.9,5.2,240.8,68.6,0.0,0.0,345.7,67.8,393075,0.0
Gemma 4 31b,applied,1167,138.1,9.6,335.4,83.6,0.0,0.0,473.5,84.1,552593,0.0
Gemma 4 31b,conceptual,1146,117.5,3.8,419.2,65.1,0.0,0.0,536.8,65.7,615131,0.0
Gemma 4 31b,recall,1137,113.9,5.2,352.9,103.3,0.0,0.0,466.8,100.7,530780,0.0
Granite 3.3 Instruct,applied,1167,146.8,11.4,327.1,125.5,0.0,0.0,473.9,127.4,553019,0.0
Granite 3.3 Instruct,conceptual,1146,122.4,4.4,352.0,83.2,0.0,0.0,474.4,83.7,543669,0.0
Granite 3.3 Instruct,recall,1137,117.8,5.8,238.6,102.2,0.0,0.0,356.4,101.6,405187,0.0
Llama 3.1 8b,applied,1167,150.9,9.1,294.9,93.1,0.0,0.0,445.9,94.3,520341,0.0
Llama 3.1 8b,conceptual,1146,130.8,3.8,323.9,72.5,0.0,0.0,454.6,72.8,520997,0.0
Llama 3.1 8b,recall,1137,127.4,5.1,250.2,79.4,0.0,0.0,377.6,78.8,429279,0.0
Llama 3.3 70b,applied,1167,150.9,9.1,229.6,68.7,0.0,0.0,380.5,69.8,444036,0.0
Llama 3.3 70b,conceptual,1146,130.8,3.8,266.6,57.9,0.0,0.0,397.4,58.2,455384,0.0
Llama 3.3 70b,recall,1137,127.4,5.1,190.6,72.2,0.0,0.0,317.9,71.1,361460,0.0
Mistral Small 3.1,applied,1167,124.6,9.7,306.0,86.6,0.0,0.0,430.6,88.6,502501,0.0
Mistral Small 3.1,conceptual,1146,103.7,3.8,335.6,73.6,0.0,0.0,439.3,73.9,503404,0.0
Mistral Small 3.1,recall,1137,100.2,5.1,262.5,86.9,0.0,0.0,362.7,85.9,412369,0.0
Nemotron 3 Nano 30ba3,applied,1167,135.6,9.7,440.0,225.4,0.0,0.0,575.6,226.6,671717,0.0
Nemotron 3 Nano 30ba3,conceptual,1146,114.7,3.8,482.8,166.7,0.0,0.0,597.4,167.3,684659,0.0
Nemotron 3 Nano 30ba3,recall,1137,111.2,5.1,331.4,174.6,0.0,0.0,442.6,174.2,503226,0.0
OSS 120b,applied,1167,185.7,9.2,683.8,303.7,0.0,0.0,869.4,304.3,1014620,0.0
OSS 120b,conceptual,1146,165.6,3.8,909.4,208.8,0.0,0.0,1075.0,209.1,1231975,0.0
OSS 120b,recall,1137,162.2,5.1,579.7,249.6,0.0,0.0,741.9,247.9,843562,0.0
OSS 20b,applied,1167,185.7,9.2,572.0,273.4,0.0,0.0,757.7,274.3,884197,0.0
OSS 20b,conceptual,1146,165.6,3.8,689.0,214.6,0.0,0.0,854.6,215.0,979328,0.0
OSS 20b,recall,1137,162.2,5.1,394.5,184.3,0.0,0.0,556.7,183.4,633005,0.0
